
SetupTitle, HEMT_transfer
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Adc.HighSpeed.Mode, PLC
TestParameter, Measurement.Adc.HighSpeed.Coeff, 2
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, PLC
TestParameter, Measurement.Adc.HighResolution.Coeff, 2
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.User.Name, Id_dens, Ig_dens, gm
TestParameter, Function.User.Unit, A/mm, A/mm, S/mm
TestParameter, Function.User.Definition, Id/0.06, abs(Ig)/0.06, diff(Id_dens,Vg)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Vg
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -2
TestParameter, Output.Graph.XAxis.Right, 10
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, false
TestParameter, Output.Graph.YAxis.Data, Id_dens, Id_dens, gm, Ig_dens
TestParameter, Output.Graph.YAxis.Scale, Log, Linear, Linear, Log
TestParameter, Output.Graph.YAxis.Bottom, 0, 0, 0, 0
TestParameter, Output.Graph.YAxis.Top, 1, 1, 1, 1
TestParameter, Output.Graph.YAxis.Group, , , , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, false, false, false, false
TestParameter, Output.List.Data, Vg, Id_dens, Ig_dens, Vd, gm
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 08/16/2019 12:33:13
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, #
MetaData, TestRecord.Remarks, #089_LPCVD_trigate_die3_r1c3_SFP_W100
MetaData, TestRecord.LinkKey, 1f0109d9-9962-413e-9d5b-60ddac9ff637
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vg
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, false
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -5
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 4.1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Id_dens, Id_dens, gm, Ig_dens
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , , , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, false, false, false, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A/mm, A/mm, S/mm, A/mm
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Linear, Linear, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-11, 2.2E-11, -4.3E-10, 1E-10
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1, 0.24, 0.059000000000000004, 1E-08
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.989010989010989
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.31818181818181818
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.989010989010989
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.31818181818181818
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.989010989010989
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.31818181818181818
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.989010989010989
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.31818181818181818
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.989010989010989
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.31818181818181818
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:MC, Name=Vg, Direction=Single, Linear/Log=LINEAR, Start=-5 V, Stop=5 V, Step=50 mV, No. of Steps=201, Compliance=1 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU1:MP, Name=Vd, Source Mode=V, Source=5 V, Compliance=100 mA	[CONSTANTS] Unit=GNDU:GND, Name=Vs, Source Mode=V, Source=0 V, Compliance=2 A
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		2E-05	2E-05	5
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vg, Id_dens, Ig_dens, Vd, gm
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A/mm, A/mm, V, S/mm
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, HEMT_transfer
Dimension1, 201, 201, 201, 201, 201, 201, 201
Dimension2, 1, 1, 1, 1, 1, 1, 1
DataName, Vd, Id, Ig, Vg, Id_dens, Ig_dens, gm
DataValue, 5, 6.5330000000000005E-12, -2.2000000000000002E-10, -5, 1.0888333333333335E-10, 3.6666666666666672E-09, -4.256666666666682E-10
DataValue, 5, 5.256E-12, -1.8000000000000003E-10, -4.95, 8.7600000000000013E-11, 3.0000000000000004E-09, -3.2266666666666778E-10
DataValue, 5, 4.5970000000000007E-12, -1.7E-10, -4.9, 7.6616666666666684E-11, 2.8333333333333335E-09, -2.1866666666666757E-10
DataValue, 5, 3.944E-12, -1.8000000000000003E-10, -4.8500000000000005, 6.5733333333333334E-11, 3.0000000000000004E-09, -1.4850000000000057E-10
DataValue, 5, 3.7060000000000006E-12, -1.7E-10, -4.8000000000000007, 6.1766666666666678E-11, 2.8333333333333335E-09, -1.0149999999999938E-10
DataValue, 5, 3.3350000000000002E-12, -1.7E-10, -4.75, 5.5583333333333342E-11, 2.8333333333333335E-09, -7.6999999999999618E-11
DataValue, 5, 3.2440000000000003E-12, -1.7E-10, -4.7, 5.4066666666666675E-11, 2.8333333333333335E-09, -5.1666666666666863E-11
DataValue, 5, 3.025E-12, -1.6000000000000002E-10, -4.65, 5.0416666666666674E-11, 2.666666666666667E-09, -6.25000000000002E-11
DataValue, 5, 2.8690000000000004E-12, -1.6000000000000002E-10, -4.6000000000000005, 4.7816666666666677E-11, 2.666666666666667E-09, -4.6500000000000214E-11
DataValue, 5, 2.7460000000000002E-12, -1.6000000000000002E-10, -4.5500000000000007, 4.5766666666666669E-11, 2.666666666666667E-09, -3.5999999999999863E-11
DataValue, 5, 2.653E-12, -1.6000000000000002E-10, -4.5, 4.4216666666666672E-11, 2.666666666666667E-09, -4.0166666666666431E-11
DataValue, 5, 2.5050000000000003E-12, -1.6000000000000002E-10, -4.45, 4.1750000000000004E-11, 2.666666666666667E-09, -5.0833333333333533E-11
DataValue, 5, 2.348E-12, -1.6000000000000002E-10, -4.4, 3.9133333333333336E-11, 2.666666666666667E-09, -4.2166666666666825E-11
DataValue, 5, 2.252E-12, -1.5000000000000003E-10, -4.3500000000000005, 3.7533333333333337E-11, 2.5000000000000005E-09, -1.6666666666665375E-13
DataValue, 5, 2.347E-12, -1.6000000000000002E-10, -4.3000000000000007, 3.9116666666666671E-11, 2.666666666666667E-09, -7.3333333333332822E-12
DataValue, 5, 2.2080000000000003E-12, -1.6000000000000002E-10, -4.25, 3.6800000000000005E-11, 2.666666666666667E-09, -3.0999999999999841E-11
DataValue, 5, 2.161E-12, -1.5000000000000003E-10, -4.2, 3.601666666666667E-11, 2.5000000000000005E-09, -9.6666666666666931E-12
DataValue, 5, 2.1500000000000003E-12, -1.5000000000000003E-10, -4.15, 3.5833333333333339E-11, 2.5000000000000005E-09, -1.1166666666666707E-11
DataValue, 5, 2.094E-12, -1.5000000000000003E-10, -4.1000000000000005, 3.4900000000000004E-11, 2.5000000000000005E-09, -2.3333333333333466E-11
DataValue, 5, 2.01E-12, -1.5000000000000003E-10, -4.0500000000000007, 3.35E-11, 2.5000000000000005E-09, -2.049999999999991E-11
DataValue, 5, 1.971E-12, -1.5000000000000003E-10, -4, 3.285E-11, 2.5000000000000005E-09, -2.8333333333332828E-12
DataValue, 5, 1.993E-12, -1.5000000000000003E-10, -3.95, 3.3216666666666671E-11, 2.5000000000000005E-09, -9.3333333333333221E-12
DataValue, 5, 1.9150000000000002E-12, -1.6000000000000002E-10, -3.9000000000000004, 3.1916666666666673E-11, 2.666666666666667E-09, -1.1000000000000053E-11
DataValue, 5, 1.927E-12, -1.5000000000000003E-10, -3.8500000000000005, 3.2116666666666669E-11, 2.5000000000000005E-09, -1.0666666666666698E-11
DataValue, 5, 1.851E-12, -1.5000000000000003E-10, -3.8000000000000003, 3.085E-11, 2.5000000000000005E-09, -1.7000000000000029E-11
DataValue, 5, 1.825E-12, -1.4E-10, -3.7500000000000004, 3.0416666666666665E-11, 2.3333333333333335E-09, 3.333333333333319E-12
DataValue, 5, 1.871E-12, -1.5000000000000003E-10, -3.7, 3.1183333333333334E-11, 2.5000000000000005E-09, -3.6666666666666249E-12
DataValue, 5, 1.803E-12, -1.5000000000000003E-10, -3.6500000000000004, 3.005E-11, 2.5000000000000005E-09, -5.3333333333332842E-12
DataValue, 5, 1.839E-12, -1.4E-10, -3.6, 3.0650000000000005E-11, 2.3333333333333335E-09, -1.8333333333333125E-12
DataValue, 5, 1.792E-12, -1.4E-10, -3.5500000000000003, 2.9866666666666671E-11, 2.3333333333333335E-09, -8.6666666666667062E-12
DataValue, 5, 1.7870000000000002E-12, -1.4E-10, -3.5000000000000004, 2.9783333333333338E-11, 2.3333333333333335E-09, -3.0000000000000127E-12
DataValue, 5, 1.7740000000000001E-12, -1.4E-10, -3.45, 2.9566666666666669E-11, 2.3333333333333335E-09, -2.8E-11
DataValue, 5, 1.619E-12, -1.4E-10, -3.4000000000000004, 2.6983333333333335E-11, 2.3333333333333335E-09, -9.6666666666666511E-12
DataValue, 5, 1.7160000000000002E-12, -1.4E-10, -3.35, 2.8600000000000003E-11, 2.3333333333333335E-09, 2.0000000000000012E-11
DataValue, 5, 1.7390000000000002E-12, -1.4E-10, -3.3000000000000003, 2.8983333333333338E-11, 2.3333333333333335E-09, 8.3333333333333336E-12
DataValue, 5, 1.7660000000000002E-12, -1.4E-10, -3.2500000000000004, 2.9433333333333334E-11, 2.3333333333333335E-09, -1.1499999999999996E-11
DataValue, 5, 1.6700000000000002E-12, -1.4E-10, -3.2, 2.7833333333333337E-11, 2.3333333333333335E-09, -2.5999999999999939E-11
DataValue, 5, 1.6100000000000002E-12, -1.3000000000000002E-10, -3.1500000000000004, 2.6833333333333338E-11, 2.166666666666667E-09, -5.999999999999993E-12
DataValue, 5, 1.6340000000000001E-12, -1.4E-10, -3.1, 2.7233333333333338E-11, 2.3333333333333335E-09, 4.4999999999999869E-12
DataValue, 5, 1.6370000000000002E-12, -1.3000000000000002E-10, -3.0500000000000003, 2.7283333333333337E-11, 2.166666666666667E-09, -1.8333333333333529E-12
DataValue, 5, 1.623E-12, -1.4E-10, -3.0000000000000004, 2.7050000000000003E-11, 2.3333333333333335E-09, -4.3333333333333337E-12
DataValue, 5, 1.6110000000000001E-12, -1.4E-10, -2.95, 2.6850000000000003E-11, 2.3333333333333335E-09, -1.0666666666666665E-11
DataValue, 5, 1.5590000000000001E-12, -1.3000000000000002E-10, -2.9000000000000004, 2.5983333333333335E-11, 2.166666666666667E-09, -1.1999999999999986E-11
DataValue, 5, 1.5390000000000002E-12, -1.3000000000000002E-10, -2.85, 2.5650000000000003E-11, 2.166666666666667E-09, 2.6666666666666744E-12
DataValue, 5, 1.575E-12, -1.3000000000000002E-10, -2.8000000000000003, 2.6250000000000003E-11, 2.166666666666667E-09, 1.900000000000008E-11
DataValue, 5, 1.6530000000000001E-12, -1.3000000000000002E-10, -2.7500000000000004, 2.7550000000000004E-11, 2.166666666666667E-09, 1.1666666666666681E-12
DataValue, 5, 1.5820000000000001E-12, -1.3000000000000002E-10, -2.7, 2.636666666666667E-11, 2.166666666666667E-09, -6.8333333333333227E-12
DataValue, 5, 1.6120000000000002E-12, -1.2E-10, -2.6500000000000004, 2.6866666666666671E-11, 2E-09, -1.3999999999999984E-11
DataValue, 5, 1.498E-12, -1.3000000000000002E-10, -2.6, 2.496666666666667E-11, 2.166666666666667E-09, -1.2666666666666663E-11
DataValue, 5, 1.5360000000000001E-12, -1.3000000000000002E-10, -2.5500000000000003, 2.5600000000000004E-11, 2.166666666666667E-09, -6.333333333333364E-12
DataValue, 5, 1.46E-12, -1.3000000000000002E-10, -2.5, 2.4333333333333333E-11, 2.166666666666667E-09, -6.1666666666666785E-12
DataValue, 5, 1.4990000000000002E-12, -1.2E-10, -2.45, 2.4983333333333336E-11, 2E-09, 1.08333333333334E-11
DataValue, 5, 1.525E-12, -1.3000000000000002E-10, -2.4000000000000004, 2.5416666666666669E-11, 2.166666666666667E-09, -1.3666666666666645E-11
DataValue, 5, 1.4170000000000001E-12, -1.2E-10, -2.35, 2.361666666666667E-11, 2E-09, -3.333333333333319E-12
DataValue, 5, 1.5050000000000002E-12, -1.2E-10, -2.3000000000000003, 2.5083333333333337E-11, 2E-09, 1.8999999999999963E-11
DataValue, 5, 1.531E-12, -1.2E-10, -2.25, 2.5516666666666668E-11, 2E-09, -5.6666666666666875E-12
DataValue, 5, 1.471E-12, -1.3000000000000002E-10, -2.2, 2.4516666666666668E-11, 2.166666666666667E-09, -3.3333333333333335E-12
